,頻道名,網址,類別,icon
82,少康戰情室,https://www.youtube.com/c/%E5%B0%91%E5%BA%B7%E6%88%B0%E6%83%85%E5%AE%A4/videos,新聞類,https://yt3.ggpht.com/ytc/AKedOLQkL1cYJLmkWM6lzfil4q4NfOimGEAJzw7JBskRdg=s900-c-k-c0x00ffffff-no-rj
83,國家地理 National Geographic TW ,https://www.youtube.com/user/NGCTaiwan/videos,教育,https://yt3.ggpht.com/ytc/AKedOLQ1Y9zY7ZRfJKwnFDv-5EEJ375VgBTBree8YcJtvA=s900-c-k-c0x00ffffff-no-rj
84,我愛貓大,https://www.youtube.com/c/%E6%88%91%E6%84%9B%E5%BA%B7%E7%86%99/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLThALtdyqui_AOuJWqeDYDLeUaGN-0q7dub_h-y=s900-c-k-c0x00ffffff-no-rj
85,大日宗,https://www.youtube.com/channel/UCOf3OYchR7r7FjkIhD949rA/videos,宗教,https://yt3.ggpht.com/ytc/AKedOLSm42qUazC-UZXbixkSrPh2rtoFbvNI2cN0vZ7lVA=s900-c-k-c0x00ffffff-no-rj
86,NyoNyoTV妞妞TV,https://www.youtube.com/c/NyoNyoTV/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLRPS57BIqPEMynD-erXcKJUmWIaHaFjlLW6h8SCOw=s900-c-k-c0x00ffffff-no-rj
87,PAPAYA 電腦教室,https://www.youtube.com/c/papayaclass/videos,教育,https://yt3.ggpht.com/ytc/AKedOLQX0gItqVHu4_WN8BtwWafr7uLWLcWaUngkVdr01A=s900-c-k-c0x00ffffff-no-rj
88,玩樂三分鐘,https://www.youtube.com/channel/UC_dXxZgHNpNVElF6y4P10Rw/videos,教育,https://yt3.ggpht.com/ytc/AKedOLQu6j7qnhd-MZ5B4MOkWt6xJmOc7wefxsoOBxwm=s900-c-k-c0x00ffffff-no-rj
99,Hello Catie,https://www.youtube.com/c/HelloCatie/videos,日常知識,https://yt3.ggpht.com/ytc/AKedOLQY5xSSzad53xkwxn45PIZdz65N8kG-sKuaMHVhoaY=s900-c-k-c0x00ffffff-no-rj
90,玖壹壹,https://www.youtube.com/user/TWnineoneone911/videos,音樂,https://yt3.ggpht.com/ytc/AKedOLTK0JaGkTRgSpL6Uar92hK40CVd5ndSmtSziPj2kw=s900-c-k-c0x00ffffff-no-rj
91,舞秋風,https://www.youtube.com/user/MrChesterccj/videos,遊戲,https://yt3.ggpht.com/ytc/AKedOLTGzEb1FIXJBdfI7m_PLfiG-DoC3vF3CwFQFAg0=s900-c-k-c0x00ffffff-no-rj
